language,English,日本語
settings_language_title,Language,言語
settings_system_data_title,System Data,システムデータ
settings_system_data_open_logs,Open Logs,ログを開く
settings_system_data_open_save_data,Open Save Data,「Save Data」フォルダを開く
settings_system_data_open_readme,Open README,README を開く
settings_system_current_version,Current version,現在のバージョン
,,
settings_port_title,VTube Studio Port,VTube Studio ポート
,,
settings_current_version,Current Version: ,カレントバージョン: 
settings_new_version_title,New Version Available!,新しいバージョンが入手可能です。
settings_new_version_body,"A newer version of this plugin is now available.
<b>Version</b>: {0}
<b>Release Date</b>: {1}

You can download it at: {2}","このプラグインの新しいバージョンが入手可能となりました。
<b>バージョン</b>：{0}
<b>リリース日</b>：{1}

{2} からダウンロードできます。"
settings_new_version_button_download,Download,ダウンロード
,,
settings_feedback_title,Feedback/Bug Reports,フィードバック・バグ報告
settings_feedback_body,"This plugin is being developed by
<b>Tom ""Skeletom"" Farro</b>. You can reach him at:

Twitter: <b>@FomTarro</b>
Email: <b>tom@skeletom.net</b>","このプラグインは、<b>Tom ""Skeletom"" Farro</b> によって開発中です。ご質問・ご用件は 

Twitter <b>@FomTarro</b>、
もしくはメール <b>tom@skeletom.net</b> 
までご連絡ください。"
settings_feedback_button_email,Email,開発者にメールを送る
settings_feedback_button_tweet,Tweet,開発者に@ツイートを送る
,,
settings_credits_title,Credits,貢献者
,,
input_select_title,Select an Input Method,入力方式を選択
input_ranges_title,Expected Heartrate Ranges,心拍数の期待範囲
input_ranges_tooltip,"Input your expected range of heartrates here. <b>%input_ranges_min</b> refers to your low-stress heartrate, while <b>%input_ranges_max</b> refers to your high-stress heartrate.

The values of the various <b>%button_tab_outputs</b> will be scaled based on where your current heartrate lands along this range.","こちらに期待される心拍数の範囲を入力してください。<b>%input_ranges_min</b> は最低心拍数、<b>%input_ranges_max</b> は最大心拍数です。 

各出力値 <b>%button_tab_outputs</b> は、現在の心拍数が入力した心拍数の範囲内のどこに位置するかによってスケーリングされます。"
input_ranges_min,Resting,安静時
input_ranges_max,Maximum,最大
input_slider_title,Test Slider,テストスライダー
input_slider_tooltip,"Use the slider for quick testing of different heartrate values.
The slider range is from 0 to 255.","テストスライダーで異なる心拍数の入力値を簡易テストできます。
スライダーの範囲は 0 から 255 までです。"
input_pulsoid_app_title,Pulsoid,Pulsoid
input_pulsoid_app_tooltip,"%input_pulsoid_overview

By clicking the <b>'%input_pulsoid_button_login' button</b>, you will be asked to grant this plugin permission to connect to your account. You will then be given an <b>'%input_pulsoid_token'</b> which you must paste in to the plugin.","%input_pulsoid_overview

<b>「%input_pulsoid_button_login」ボタン</b>をクリックすると、プラグインがアカウントを連携させるよう承認が求められます。承認後に与えられた Pulsoid の <b>「%input_pulsoid_token」</b> をこのプラグインに貼り付けてください。"
input_pulsoid_button_login,Log In,ログイン
input_pulsoid_button_visit,Visit pulsoid.net,pulsoid.net にアクセス
input_pulsoid_token,Authentication Token,認証トークン
input_pulsoid_token_placeholder,Enter your %input_pulsoid_token,%input_pulsoid_token をここに入力
input_pulsoid_feed_title,Pulsoid (Widget Feed),Pulsoid (Widget Feed)
input_pulsoid_feed_tooltip,"%input_pulsoid_overview

From there, you should find a <b>'Feed URL'</b> which you must paste into the plugin.

Please note that Pulsoid may be deprecating this input method in the future, in favor of direct app connectivity.","%input_pulsoid_overview

そこで表示される<b>「Feed URL」</b>をコピーし、プラグインに貼り付けてください。

なお、Pulsoid は今後この入力方式を非推奨または廃止とし、アプリとの直接接続を推奨する可能性がある点はご留意ください。"
input_pulsoid_feed_url,Feed Reference URL,「Feed Reference URL」
input_pulsoid_feed_url_placeholder,Widgets -> Advanced -> Feed reference URL,Widgets -> Advanced -> Feed reference URL
input_pulsoid_overview,"<b>Pulsoid</b> is a free third-party app for Android/iOS which allows for easy, reliable connectivity to a wide set of heartrate monitors.
Once you have a Pulsoid account, you can use this input method to collect heartrate data from the service.",<b>Pulsoid</b> とは、Android/iOS用の無料サードパーティーアプリで、モバイル端末のBluetooth経由で幅広い心拍計に簡単・確実に接続することができます。Pulsoid のアカウントを作成すれば、この入力方式を用いて心拍数データを取得することができます。
input_file_title,Read from File,ファイルからの読み込み
input_file_tooltip,"Use this input method to read heartrate data from an external file.
The file must simply contain the numeric heartrate value in plain text. File path must be absolute.


Useful if you have another program that can output heartrate data.","この入力方式を用いて、外部ファイルから心拍数データを読み込むことができます。
このファイルには心拍数データの数値のみがプレーンテキストで含まれている必要があります。ファイルパスは絶対パスである必要があります。


心拍数データが出力できる別のプログラムを使用する場合は便利です。"
input_file_path,File Path,ファイルパス
input_file_path_paceholder,Enter absolute file path,ファイルの絶対パスを入力
input_ant_plus_title,ANT+,ANT+
input_ant_plus_tooltip,"<b>ANT+</b> is a low-power protocol supported by many sport and fitness sensors.

This input method allows for direct connection to your ANT+ device, provided that you have a <b>USB receiver</b> plugged in.

By clicking the <b>'Refresh' button</b>, this plugin will begin a continuous scan for devices that output heartrate data.
Then, simply select one from the dropdown and click the <b>'%button_generic_connect' button</b>.

Please note that this plugin is not an officially licensed or certified affiliate of the ANT+ Brand.","<b>ANT+</b> は、多くのスポーツやフィットネス系のウェアラブル端末で使用されている低電力プロトコルです。

この入力方式により、<b>USB受信機</b>がPCに接続されていれば、ANT+ デバイスとの直接接続が可能です。

<b>「更新」ボタン</b>をクリックすると、本プラグインは心拍数データを出力するデバイスのスキャンを開始します。
その後、ドロップダウンリストから希望のデバイスを選択し、<b>「%button_generic_connect」ボタン</b>をクリックするだけで、選択したデバイスと接続されます。

このプラグインは ANT+ の公式ライセンスまたは認定ソフトウェアではありませんので、ご了承ください。"
input_ant_plus_button_visit,Visit thisisant.com,thisisant.com へアクセス
input_ant_devices,Available Devices,接続可能なデバイス
,,
output_artmesh_title,Art Mesh Tint,アートメッシュの色付け
output_artmesh_new,Create %output_artmesh_title,%output_artmesh_title の新規作成
output_artmesh_tooltip,"This output will gradually tint the matched <b>Art Meshes</b> the desired color, based on your current heartrate.

<b>Art Meshes</b> are matched as long as their names or tags contain <b>any</b> of the provided list of text to match. For example, providing the text '<b>head,mouth,neck</b>' will match Art Meshes with names like '<b>forehead</b>', '<b>outermouth2</b>', and '<b>leftneckside1</b>'.

Text to match must be <b>comma separated</b> and should <b>not contain spaces</b>.
If you are unsure of what your Art Meshes are named, a great web-tool was developed by <b>Hawkbar</b> called <b>VTubeStudioTagger</b>, which offers an intuitive way to discover the names of your model's Art Meshes.","この出力は、現在の心拍数に基づいて、徐々にマッチされる<b>アートメッシュ</b>に所望の色を薄く付けます。

<b>アートメッシュ</b>は、その名前またはタグのテキストが、入力した検索対象リストのいずれかとマッチすればマッチされます。例えば、「<b>鼻,頬,唇</b>」を入力すると、「<b>鼻</b>」、「<b>右頬1</b>」、「<b>上唇</b>」などの名前が付いているアートメッシュがマッチされます。

検索対象となるテキストは<b>カンマ「,」で区切り</b>、<b>スペースを含んではいけません</b>。
自分のモデルのアートメッシュの名前がわからない場合、<b>Hawkbar</b> により開発された <b>VTubeStudioTagger</b> という優れたウェブツールを利用することで、モデルのアートメッシュの名前をわかりやすく簡単に確認することができます。"
output_artmesh_label_mesh,Meshes,メッシュ
output_artmesh_label_meshes_placeholder,Enter mesh names (comma separated),メッシュ名を入力（カンマ区切り）
output_artmesh_button,Visit VTubeStudioTagger,VTubeStudioTagger にアクセス
,,
output_expressions_title,Expression Trigger,表情の切り替え
output_expressions_new,Create %output_expressions_title,%output_expressions_title を新規作成する
output_expressions_tooltip,"This output will cause an <b>Expression</b> to <b>activate or deactivate</b> when the current heartrate is <b>above or below a given threshold</b>, based on the selected behavior settings. ",この出力は、選択された設定に基づき、現在の心拍数が<b>所定の閾値以上または以下</b>になったときに、特定の<b>表情</b>を</b>再生または元の表情に戻します</b>。
output_expressions_behavior_aadb,"%output_expressions_behavior_aa, %output_expressions_behavior_db","%output_expressions_behavior_aa, %output_expressions_behavior_db"
output_expressions_behavior_daab,"%output_expressions_behavior_da, %output_expressions_behavior_ab","%output_expressions_behavior_da, %output_expressions_behavior_ab"
output_expressions_behavior_aa,Activate above,閾値以上になると再生
output_expressions_behavior_da,Deactivate above,閾値以上になると停止
output_expressions_behavior_db,Deactivate below,閾値以下になると停止
output_expressions_behavior_ab,Activate below,閾値以下になると再生
,,
output_hotkey_title,Hotkey Trigger,ショートカットキートリガー
output_hotkey_new,Create %output_hotkey_title,%output_hotkey_title を新規作成
output_hotkey_tooltip,"This output will cause a <b>Hotkey</b> to be triggered when the current heartrate is <b>above or below a given threshold</b>, based on the selected behavior settings.",この出力は、選択された設定に基づき、現在の心拍数が<b>所定の閾値以上または以下</b>になったときに、特定の<b>ショートカットキー</b>を動作させます。
output_hotkey_behavior_ab,"%output_hotkey_behavior_a, %output_hotkey_behavior_b","%output_hotkey_behavior_a, %output_hotkey_behavior_b"
output_hotkey_behavior_a,Trigger above,閾値以上になると動作
output_hotkey_behavior_b,Trigger below,閾値以下になると動作
,,
output_custom_params_title,Custom Parameters,カスタムパラメータ
output_custom_params_tooltip,"This plugin outputs four custom tracking parameters for use. They are as follows:

<b>VTS_Heartrate_Linear</b>: A value that scales from 0.0 to 1.0 as your heartrate moves across the expected range.

<b>VTS_Heartrate_Pulse</b>: A value that oscillates between 0.0 and 1.0 with a frequency exactly matching your heartrate.

<b>VTS_Heartrate_Breath</b>: A value that oscillates between 0.0 and 1.0 with a frequency slower than VTS_Heartrate_Pulse, suitable for controlling your model's <b>ParamBreath</b> output.

<b>VTS_Heartrate_BPM</b>: A value that represents the actual current BPM from 0 to 255, rather than a normalized value from 0.0 to 1.0.","このプラグインは次のように、四つのカスタムトラッキングパラメータを出力します。

<b>VTS_Heartrate_Linear</b>：心拍数が期待される範囲内で変化する際、比例して 0.0 から 1.0 にスケールする値。

<b>VTS_Heartrate_Pulse</b>：心拍数と一致する周波数で、0.0から1.0の間で振動する値。

<b>VTS_Heartrate_Breath</b>：VTS_Heartrate_Pulse（心拍数）より遅い周波数で、0.0から1.0の間で振動する値。モデルの <b>ParamBreath</b>（呼吸パラメータ）をコントロールするのに適しています。

<b>VTS_Heartrate_BPM</b>：0 から 255 まで、実際の現在の心拍数を表す値。（この出力値は実際値であり、最小値 0.0 〜最大値 1.0 にスケーリングされた値ではありません）"
output_custom_params_button,Learn how to use Custom Parameters,カスタムパラメータの使用方法についてはこちら
,,
output_copy_profile_title,Copy Profile Settings,プロファイル設定のコピー
output_copy_profile_tooltip,"This feature allows you to <b>copy all of your output settings</b> (art mesh tints, expression triggers) from one model to your currently loaded model.

As a result, any settings configured for your currently loaded model will be permanently erased.","この機能により、あるモデルの<b>すべての出力設定</b>（アートメッシュの色付け、表情の切り替えなど）を、現在読み込んでいるモデルにコピーすることが可能です。

コピーする場合、現在読み込んでいるモデルに対する設定は永久的に削除されます。"
output_copy_profile_warning,"Are you sure that you want to <b>copy model settings data</b> from <b>'{0}'</b> to your currently loaded model, <b>'{1}'</b>?
Doing so will <b>permanently erase</b> any settings your currently loaded model has configured.","現在読み込んでいるモデル <b>{1}</b> に、モデル <b>{0}</b> の設定をコピーしますか？
コピーすると、現在読み込んでいるモデルに対する設定は<b>永久的に削除</b>されます。"
output_copy_profile_button_yes,Copy,コピー
output_copy_profile_button_no,Cancel,キャンセル
,,
button_generic_copy,Copy,コピー
button_generic_delete,Delete,削除
button_tab_inputs,Inputs,入力
button_tab_outputs,Outputs,出力
button_tab_settings,Settings,設定
button_generic_connect,Connect,接続
button_generic_disconnect,Disconnect,接続解除
label_generic_settings,Settings,設定
label_generic_threshold,Threshold,閾値
RGBA…,,
end,,
